Sanjeev Saxena
Hans Ulrich Simon
Nathan Goodman,Oded Shmueli
Norbert Blum
Arnold Schnhage
Juha Honkala
Chua-Huang Huang,Christian Lengauer
Alain Finkel,Annie Choquet
Joachim Biskup
Symeon Bozapalidis,Zoltn Flp 0001,George Rahonis
Victor Khomenko,Alex Kondratyev,Maciej Koutny,Walter Vogler
Wim H. Hesselink
Christian Ronse
Carol Critchlow,Prakash Panangaden
Robin Milner
John Darlington
Maria Calzarossa,M. Italiani,Giuseppe Serazzi
Vincent Vajnovszki
Walter Vogler,Christian Stahl,Richard Mller 0001
Luc Devroye
T. C. Hu,K. C. Tan
William R. Franta
Ekkart Kindler
Demetres D. Kouvatsos
Sergei Gorlatch,Christian Lengauer
Roland Meyer
Stefan Reisch
Erzsbet Csuhaj-Varj,Victor Mitrana
Ryszard Janicki
Bruce Russell
Andrzej Ehrenfeucht,Grzegorz Rozenberg
Rainer Kemp
Yijie Han,Yoshihide Igarashi
Ian F. Akyildiz,Horst von Brand
X. J. Chen,Carlo Montangero
Rob J. van Glabbeek,Ursula Goltz,Ernst-Rdiger Olderog
Antonella Santone
Eric C. R. Hehner
Moon-Jung Chung,Michael Evangelist,Ivan Hal Sudborough
Peter E. Bulychev,Alexandre David,Kim G. Larsen,Guangyuan Li
Timothy A. Budd,Dana Angluin
George Markowsky
Manfred P. Stadel
David A. Watt
Paul S. Amerins,Ricardo A. Baeza-Yates,Derick Wood
Ernst W. Mayr
Karel Culik II,Simant Dube
Armin B. Cremers,Thomas N. Hibbard
William P. R. Mitchell
Patrick Cousot,Radhia Cousot
Isi Mitrani,J. H. Hine
Joseph M. Morris,Malcolm Tyrrell
Jrgen Nehmer
Walter J. Savitch
Karl Meinke
Joost Engelfriet,Linda Heyker,George Leih
Shyamal K. Chowdhury,Pradip K. Srimani
Ugo Montanari,Francesca Rossi
Peter E. Lauer,Piero R. Torrigiani,M. W. Shields
Rudolf Berghammer
David Pager
Peter Lipps,Ulrich Mncke,Matthias Olk,Reinhard Wilhelm
Sanguthevar Rajasekaran,Sandeep Sen
Richard Hull,Jianwen Su
John K. Lee,Alan Fekete
Teuvo Laurinolli
Gary T. Leavens,Don Pigozzi
Luke Hunsberger
Y. Daniel Liang,Maw-Shang Chang
Gilles Bernot,Michel Bidoit,Teodor Knapik
Jan A. Bergstra,C. A. Middelburg
Wlodzimierz Drabent
Victor Khomenko,Mark Schfer,Walter Vogler,Ralf Wollowski
Raphael A. Finkel,Jon Louis Bentley
Alfred Schmitt
Jacques Labetoulle,Guy Pujolle
Paul Pritchard
Robert T. Moenck
Philip Heidelberger
Yo-Sub Han,Sang-Ki Ko,Kai Salomaa
Siegfried Bublitz
Benedek Nagy,Friedrich Otto
Gheorghe Paun
P. F. Schuler
George W. Ernst
Gnther E. Pfaff
Joost Engelfriet,Heiko Vogler
Stefan Reisch
Chen-Ming Fan,Cheng-Chih Huang,Huei-Jan Shyr,Kuo-Hsiang Chen
Linqiang Pan,Artiom Alhazov
Akhil Kumar 0001,Kavindra Malik
Serge Haddad,Denis Poitrenaud
Donald P. Gaver,George Humfeld
J.-P. Lvy
Stavros Konstantinidis,Nicolae Santean,Sheng Yu
Eike Best,Raymond R. Devillers,Astrid Kiehn,Lucia Pomello
Markus Bttner
Andrzej Ehrenfeucht,Hendrik Jan Hoogeboom,Grzegorz Rozenberg
Eike Best,Raymond R. Devillers
Joost Engelfriet,Eric Lilin,Andreas Maletti
Andrzej Blikle
Fred Krger
Zoltn sik,Michael Bertol
Rob van Stee,Johannes A. La Poutr
Carroll Morgan,Paul H. B. Gardiner
Ambuj K. Singh
Paul Caspi,Nicolas Halbwachs
Eike Best,Wojciech Fraczak,Richard P. Hopkins,Hanna Klaudel,Elisabeth Pelz
Wuu Yang
Kamilla Klonowska,Lars Lundberg,Hkan Lennerstad
Arnold L. Rosenberg
Zvi Galil
Volker Claus
Naoki Kobayashi 0001
Jean Berstel
